budget;company;country;director;genre;gross;name;rating;released;runtime;score;star;votes;writer;year
1500000000;DreamWorks Animation;USA;Eric Darnell;Animation;1800109500;Madagascar: Escape 2 Africa;PG;39759;89;67;Ben Stiller;162026;Etan Cohen;2008
550000000;Casey Silver Productions;USA;Rob Minkoff;Action;520752700;The Forbidden Kingdom;PG-13;39556;104;66;Jackie Chan;92275;John Fusco;2008
80000000;DreamWorks;USA;Carter Smith;Horror;174328440;The Ruins;R;39542;90;59;Shawn Ashmore;62603;Scott B. Smith;2008
300000000;EuropaCorp;France;Olivier Megaton;Action;317150620;El transportador 3;PG-13;39778;104;61;Jason Statham;136246;Luc Besson;2008
200000000;Fox Searchlight Pictures;USA;David Ayer;Action;264156490;Street Kings;R;39549;109;68;Keanu Reeves;98463;James Ellroy;2008
550000000;New Line Cinema;USA;Kent Alterman;Comedy;334728500;Semi-Pro;R;39507;91;58;Will Ferrell;70423;Scot Armstrong;2008
300000000;New Regency Pictures;USA;Jason Friedberg;Comedy;382336760;Meet the Spartans;PG-13;39472;86;27;Sean Maguire;92856;Jason Friedberg;2008
400000000;Columbia Pictures;USA;Pete Travis;Crime;722663060;Vantage Point;PG-13;39500;90;66;Dennis Quaid;132882;Barry L. Levy;2008
29000000;Stage 6 Films;USA;Ric Roman Waugh;Crime;367560;Felon;R;39646;104;75;Stephen Dorff;68957;Ric Roman Waugh;2008
90000000;Screen Gems;USA;Peter Sollett;Comedy;314872930;Nick and Norah's Infinite Playlist;PG-13;39724;90;67;Michael Cera;78985;Lorene Scafaria;2008
550000000;Playtone;USA;Gil Kenan;Adventure;78730070;City of Ember;PG;39731;90;65;Saoirse Ronan;56120;Caroline Thompson;2008
800000000;Walt Disney Pictures;USA;Adam Shankman;Comedy;1101019750;Bedtime Stories;PG;39807;99;61;Adam Sandler;76733;Matt Lopez;2008
120000000;Screen Gems;USA;John Erick Dowdle;Horror;316918110;Quarantine;R;39731;89;60;Jennifer Carpenter;61042;John Erick Dowdle;2008
300000000;New Line Cinema;USA;Gavin O'Connor;Crime;157093850;Pride and Glory;R;39745;130;67;Edward Norton;55020;Joe Carnahan;2008
200000000;New Line Cinema;UK;Michel Gondry;Comedy;111695310;Be Kind Rewind;PG-13;39500;102;64;Jack Black;82776;Michel Gondry;2008
250000000;TriStar Pictures;USA;Rodrigo García;Drama;2706590;Passengers;PG-13;39745;93;59;Anne Hathaway;29805;Ronnie Christensen;2008
